Price,Close,High,Low,Open,Volume,EMA_20,EMA_50,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14
2022-01-10,18003.30078125,18017.44921875,17879.150390625,17913.30078125,232400.0,17484.60993866059,17441.587185623714,64.77141278387374,136.42830965634494,109.11828597136886,27.310023684976077,233.5372990556216
2022-01-11,18055.75,18081.25,17964.400390625,17997.75,220200.0,17539.004230216724,17465.67200187376,65.74054247644204,163.1491414992597,108.6712942514269,54.477847247832806,225.20246407843433
2022-01-12,18212.349609375,18227.94921875,18128.80078125,18170.400390625,245000.0,17603.13236156513,17494.953476677732,68.5246945929737,194.71729321807652,112.19155677619497,82.52573644188155,221.41651798354619
2022-01-13,18257.80078125,18272.25,18163.80078125,18257.0,303700.0,17665.481734868452,17524.869057249194,69.30439501549512,220.8569096348947,110.66493855441051,110.19197108048418,213.34742518115004
2022-01-14,18255.75,18286.94921875,18119.650390625,18185.0,229500.0,17721.697760119077,17553.53105500413,69.2210738980592,238.65618314225503,102.77136964941667,135.88481349283836,210.05823967713934
2022-01-17,18308.099609375,18321.55078125,18228.75,18235.650390625,266700.0,17777.545555286306,17583.12197870495,70.2057766875068,254.05779153101685,94.53838243054278,159.51940910047406,201.68270693234368
2022-01-18,18113.05078125,18350.94921875,18085.900390625,18337.19921875,227500.0,17809.498433949513,17603.903500373384,62.21871031700397,247.66988256602053,70.52037877243717,177.14950379358336,206.20885844610487
2022-01-19,17938.400390625,18129.19921875,17884.900390625,18129.19921875,276700.0,17821.77481077575,17617.021025481292,56.06780682853025,225.91043688756326,39.0087464751839,186.90169041237937,208.92957056602597
2022-01-20,17757.0,17943.69921875,17648.44921875,17921.0,258100.0,17815.60578117806,17622.51039703105,50.485219831710005,191.817273791763,3.9324667035069183,187.88480708825608,215.09531552559557
2022-01-21,17617.150390625,17707.599609375,17485.849609375,17613.69921875,277600.0,17796.705267792055,17622.3002007014,46.63044336355527,151.7640600908744,-28.896597597905355,180.66065768877976,219.09924946126733
2022-01-24,17149.099609375,17599.400390625,16997.849609375,17575.150390625,323800.0,17735.028538419003,17603.743314767034,36.567107705977556,81.31644788828635,-79.47536784039474,160.7918157286811,247.68507316046254
2022-01-25,17277.94921875,17309.150390625,16836.80078125,17001.55078125,326500.0,17691.497174641,17590.967075707544,40.381524084762425,35.47436787471452,-100.25395828317326,135.72832615788778,263.7325400329295
2022-01-27,17110.150390625,17182.5,16866.75,17062.0,395600.0,17636.130814258526,17572.111519429796,37.24084467057401,-14.231719483497727,-119.9680365131084,105.73631702961067,274.26587422700595
2022-01-28,17101.94921875,17373.5,17077.099609375,17208.30078125,355300.0,17585.256376591045,17553.673782148235,37.089014573403695,-53.6672749196041,-127.52287355937182,73.85559863976772,275.84691111257695
2022-01-31,17339.849609375,17410.0,17264.150390625,17301.05078125,321700.0,17561.88430352285,17545.28852047085,44.19632192525818,-64.9746757963876,-111.06421954892426,46.089543752536656,278.1471875509643
2022-02-01,17576.849609375,17622.400390625,17244.55078125,17529.44921875,386400.0,17563.309570746864,17546.526210231797,50.22878566270832,-54.18731550558732,-80.2214874064992,26.034171900911865,285.268789109824
2022-02-02,17780.0,17794.599609375,17674.80078125,17706.19921875,271200.0,17583.946754485256,17555.682045124668,54.74479121538281,-28.91243151843082,-43.95728273547415,15.044851217043329,280.44601845912234
2022-02-03,17560.19921875,17781.150390625,17511.150390625,17767.75,226600.0,17581.685084415232,17555.859189188406,49.51037013041865,-26.314651041106117,-33.08760180651956,6.772950765413439,279.69987428347076
2022-02-04,17516.30078125,17617.80078125,17462.55078125,17590.19921875,261400.0,17575.458007923306,17554.307879073174,48.51270260377637,-27.481340541307873,-27.40343304537705,-0.07790749593082325,270.81059754893715
2022-02-07,17213.599609375,17536.75,17119.400390625,17456.30078125,265000.0,17540.995303299656,17540.946770457558,42.198273781603916,-52.22933787148213,-41.72114430044105,-10.508193571041085,281.2776698222274
2022-02-08,17266.75,17306.44921875,17043.650390625,17279.849609375,268500.0,17514.876702985403,17530.19395592981,43.586744755414635,-66.78367113874992,-45.02038205416707,-21.76328908458285,279.95775255813976
2022-02-09,17463.80078125,17477.150390625,17339.0,17370.099609375,236400.0,17510.01232948679,17527.5903020208,48.52370532547436,-61.706420679900475,-31.954505276254096,-29.75191540364638,274.9893695629155
2022-02-10,17605.849609375,17639.44921875,17427.150390625,17554.099609375,273600.0,17519.139689476146,17530.659294466062,51.798494022162565,-45.693780376757786,-12.753491978489123,-32.94028839826866,270.51147374592153
2022-02-11,17374.75,17454.75,17303.0,17451.0,253100.0,17505.388290478415,17524.545204487,46.60397646830863,-51.062834102194756,-14.498036563140872,-36.564797539053885,272.82134057657004
